symbol,data_source,setor,subsetor,avg_fin_volume,volatility_ann,corr_ibov,abs_corr_ibov,market_cap,score_liquidity,score_volatility,score_market_cap,score_corr_diversification,score_total,rank_total,tier
KLBN11,yahoo,MATERIAIS BÁSICOS,,97693996.11131954,0.23348431652345772,0.2258537125877695,0.2258537125877695,132243808256.0,0.5818181818181818,0.8545454545454545,0.16363636363636364,0.14545454545454545,0.4445454545454545,37,C
RENT3,yahoo,INDUSTRIAL,,347947481.37650585,0.3556929494422505,0.7781461310560197,0.7781461310560197,42917515264.0,0.2,0.45454545454545453,0.38181818181818183,0.9090909090909091,0.4381818181818182,38,C
BBAS3,yahoo,FINANCEIRO,BANCOS,489381233.01654625,0.2494263268540402,0.7872129975050409,0.7872129975050409,121988308992.0,0.14545454545454545,0.7454545454545455,0.18181818181818182,0.9272727272727272,0.4309090909090909,39,D
ITSA4,yahoo,FINANCEIRO,,310316059.13059884,0.25035061062752156,0.6652294801356681,0.6652294801356681,134872498176.0,0.2545454545454545,0.7090909090909091,0.14545454545454545,0.8181818181818182,0.4309090909090909,39,D
BPAC11,yahoo,FINANCEIRO,CORRETORAS,332623890.09130096,0.3106911756432597,0.8527239926199375,0.8527239926199375,181809987584.0,0.23636363636363636,0.5454545454545454,0.12727272727272726,1.0,0.42363636363636364,41,D
HAPV3,yahoo,SAÚDE,,111521139.3910737,1.0069061051050414,0.2785905950130476,0.2785905950130476,6166688768.0,0.5636363636363636,0.05454545454545454,0.6909090909090909,0.2,0.4209090909090909,42,D
SBSP3,yahoo,UTILIDADES,,490178400.1686169,0.2395537982662743,0.6268432291212918,0.6268432291212918,86589136896.0,0.12727272727272726,0.7818181818181819,0.23636363636363636,0.7454545454545455,0.4090909090909091,43,D
PRIO3,yahoo,ENERGIA,,406290557.7862549,0.23899157100801127,0.34031757763830645,0.34031757763830645,35904335872.0,0.16363636363636364,0.8,0.43636363636363634,0.3090909090909091,0.3881818181818182,44,D
ITUB4,yahoo,FINANCEIRO,BANCOS,745459448.4745808,0.22253953050398484,0.7419504059947881,0.7419504059947881,436760641536.0,0.07272727272727272,0.9272727272727272,0.01818181818181818,0.8545454545454545,0.38636363636363635,45,D
AURA33,yahoo,MATERIAIS BÁSICOS,,72005656.37496965,0.5524256959129674,0.06891710053753076,0.06891710053753076,27092271104.0,0.6363636363636364,0.16363636363636364,0.4727272727272727,0.03636363636363636,0.38090909090909086,46,D
B3SA3,yahoo,FINANCEIRO,CORRETORAS,583247733.7548018,0.3250945711658237,0.7740171806548638,0.7740171806548638,76726714368.0,0.09090909090909091,0.4909090909090909,0.2545454545454545,0.8909090909090909,0.3718181818181818,47,D
BBDC4,yahoo,FINANCEIRO,BANCOS,503294632.58804804,0.26454743058928165,0.7519034537180245,0.7519034537180245,200011284480.0,0.10909090909090909,0.6545454545454545,0.09090909090909091,0.8727272727272727,0.3663636363636364,48,D
RDOR3,yahoo,SAÚDE,,240392279.84691522,0.3924960547047921,0.5402750786597731,0.5402750786597731,88808005632.0,0.3090909090909091,0.32727272727272727,0.21818181818181817,0.6181818181818182,0.3518181818181818,49,D
SUZB3,yahoo,MATERIAIS BÁSICOS,,343767279.7787113,0.2488389915145149,-0.10468013685676779,0.10468013685676779,63772889088.0,0.21818181818181817,0.7636363636363637,0.2909090909090909,0.07272727272727272,0.31636363636363635,50,D
ABEV3,yahoo,CONSUMO NÃO CÍCLICO,,375191267.74483204,0.225483722536707,0.3333557807438934,0.3333557807438934,220193013760.0,0.18181818181818182,0.8909090909090909,0.07272727272727272,0.2727272727272727,0.3145454545454546,51,D
WEGE3,yahoo,INDUSTRIAL,,295864341.5339613,0.23738304528656898,0.14522791129714574,0.14522791129714574,194344632320.0,0.2727272727272727,0.8181818181818182,0.10909090909090909,0.10909090909090909,0.3081818181818182,52,D
PETR4,yahoo,ENERGIA,,1157220243.515108,0.21176652849368716,0.39873273661543757,0.39873273661543757,430539309056.0,0.05454545454545454,0.9454545454545454,0.03636363636363636,0.38181818181818183,0.29363636363636364,53,D
AZUL4,yahoo,INDUSTRIAL,,16279281028.692492,8600.358942115336,0.1752748047110725,0.1752748047110725,748683520.0,0.01818181818181818,0.01818181818181818,0.9636363636363636,0.12727272727272726,0.27636363636363637,54,D
VALE3,yahoo,MATERIAIS BÁSICOS,,2068800831.0659122,0.22435135564637101,0.33151191238847,0.33151191238847,336721346560.0,0.03636363636363636,0.9090909090909091,0.05454545454545454,0.2545454545454545,0.2590909090909091,55,D
